ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error
100.42365221749066,0.49995967878908326,-50.95405205491474,0.5638599138976311,-1.333565779077816,1.1765977130998806,1.8538022615501117,1.375096659204371,20.247889,20.579508,19.709074,0.8704338,0.33161926,0.53881454,,
100.42220123400566,0.7352765136284967,-50.99703117589072,0.7220338186187389,2.8921933653438345,2.2867468970694707,0.9284323893079018,1.7059738071296575,20.546621,20.04612,19.520931,0.52518845,-0.50050163,1.0256901,,
100.38366882608894,0.4610697469797651,-50.932211838815796,0.5240301593281373,-4.2856748854341875E-4,1.0790671731353236,1.854810079789179,1.271725490560703,20.256405,20.564707,19.652403,0.9123039,0.30830193,0.604002,,
100.40588683287955,0.5374240635135968,-50.95624451654275,0.5636127200506009,1.3763570280444108,1.2329573567223422,-1.0007425920208832,1.1953403455651386,20.387781,20.619408,19.788406,0.8310013,0.23162651,0.5993748,,
100.44235443891978,0.48295493825576374,-50.993138953077484,0.5790791501477669,0.7823493287822927,1.1302774120859487,-0.420320600242798,1.217825495498771,20.274221,19.949081,19.05769,0.89139175,-0.32514,1.2165318,,
100.45387875544569,0.7489915281455433,-50.98475143852239,0.7333491709547988,0.2519392037945014,1.6395873616728505,-4.761059084073629,1.3449089782122032,20.530018,20.92482,19.34401,1.5808105,0.3948021,1.1860085,,
100.37116051669298,0.38296079916256875,-50.95284498584199,0.46263802733029713,-0.4585108047840204,1.1049538357275435,1.945421162462798,0.986170588725707,19.932215,20.177326,19.173704,1.003622,0.24511147,0.7585106,,
100.36671817062246,0.4276701159139468,-50.954328763363115,0.49943353027358073,2.268313051381276,1.3325854701515476,-0.7791332215360744,1.1156813497555529,20.07694,20.321342,19.368616,0.95272636,0.24440193,0.70832443,,
100.40028133950382,0.4836051679923886,-50.97926519797246,0.49224279262420223,0.45116691209958015,1.0975715478946895,-0.7161206378195666,0.9868469233977466,20.17814,20.4421,19.53896,0.903141,0.26395988,0.63918114,,
100.40438613179812,0.43897370207223557,-50.953860588302916,0.48835225818903855,1.6042476757443032,1.379716383215553,4.048500088865172,1.1761861297618643,20.065187,20.213964,19.499687,0.71427727,0.14877701,0.56550026,,
