ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error
100.3144538232039,0.09747400086304503,-51.021088581476214,0.11099193358857942,0.2548351227414363,0.22946685668730799,0.10147445169353718,0.22857133555332912,17.650255,18.274216,16.862858,1.4113579,0.6239605,0.7873974,,
100.31300559100711,0.49379839720005914,-51.0009436410935,0.5042508240410478,1.4870918078298003,1.0738934977975385,0.09882798420761768,0.9931085747611215,20.347176,20.583996,19.700033,0.88396263,0.23682022,0.6471424,,
100.30255640063582,0.17336618770245185,-50.995573843564145,0.1781816336510914,0.5416577868020912,0.38733382484286016,0.4878201971321833,0.3443286212447853,18.897598,19.447796,18.151255,1.2965412,0.5501976,0.7463436,,
100.3080736968674,0.29268977668273266,-50.99067036989608,0.3353164160906866,0.7828623062720986,0.753173948998936,0.08474810329547552,0.7247871415565873,19.58657,19.946957,18.868608,1.0783482,0.3603859,0.71796227,,
100.31709996400086,0.39497862221497393,-50.992724145927134,0.5037406883566463,-1.5065944545847834,0.9111302469252132,5.3618892080472005,1.0387166383879731,20.092905,20.964106,19.051815,1.9122906,0.87120056,1.04109,,
100.30727871548024,0.5944859697063578,-50.99363610653915,0.7106667341735008,0.2673885296243425,1.2719935833191098,0.12644738112446374,1.260651731737629,20.56941,20.778376,19.751562,1.0268135,0.2089653,0.8178482,,
100.31840445132703,0.6684252791716789,-51.02251051507596,0.7832942626050328,-0.662689483495833,1.8455953436949282,0.7485929802895894,1.5697676796654554,20.606546,20.799978,19.787228,1.0127506,0.19343185,0.8193188,,
100.31854173047311,0.5176760885436908,-51.01909849414804,0.66087390921699,0.13966012830789273,1.2313300325511407,-2.380665159365523,1.825042884594499,20.35467,20.634714,19.581171,1.0535431,0.28004456,0.77349854,,
100.31327900189596,1.3507587389346405,-51.01610182930221,1.6832064956874537,0.23192828503691482,2.0479684562028146,-1.3873751471902356,3.171027287614069,20.830143,20.78075,20.363289,0.4174614,-0.0493927,0.4668541,,
100.31694031982073,0.4558195078151111,-51.00594581487518,0.4721470897390154,1.4234206344415878,1.0328116850792646,-1.5094942877873618,1.0105425690804715,20.252901,20.239576,19.49538,0.74419594,-0.013324738,0.7575207,,
100.30905975287398,0.49981986223114794,-51.011814799247,0.595073125546819,-0.31085109439887626,1.1011263296050877,-0.7118482837649961,1.1283469664783157,20.42942,20.545528,19.423828,1.1217003,0.11610794,1.0055923,,
100.31232424495626,0.42051699416151045,-51.01267307603483,0.467146362389403,0.3175505299183436,0.9529233194894285,0.8784942130934523,0.9153766933816444,20.07782,20.461393,19.475607,0.98578644,0.38357353,0.6022129,,
100.30546018816038,0.45884367258258596,-51.00652105052703,0.5218543947005525,0.4400579843695053,1.064323610963078,0.377569797990033,1.181442834577878,20.298546,20.217655,19.58131,0.6363449,-0.080890656,0.71723557,,
100.29655146528675,0.4575882314016192,-50.93656110323991,0.4934812029994093,0.8877586643989211,1.0407581642815664,-1.2135217828290294,0.9743472151236595,20.213709,20.654184,19.517336,1.1368484,0.44047546,0.696373,,
100.31054134527753,1.0270881126047549,-50.99964149757301,1.0056328829202337,1.0340717824520078,3.4800715760455967,-7.575268937378393,3.1360087696159282,20.899025,20.832207,19.96537,0.86683655,-0.06681824,0.9336548,,
100.28971304731166,2.47893133545248,-50.99546901536673,2.1212421340529883,3.604835812709011,4.2583485122307225,0.9594239840107746,3.249683244860613,20.988909,21.066349,20.25903,0.80731964,0.07744026,0.7298794,,
100.30993073749052,0.1474388960653899,-50.97208829469615,0.14936385192731588,0.6869312558257457,0.34076744241325757,-0.29878816902762734,0.3050727121904611,18.507023,18.659557,18.14776,0.51179695,0.15253448,0.35926247,,
100.27921298350694,0.42219089800586296,-50.97050526575381,0.5158403033376601,0.7489115871434701,1.241316815860988,0.40669103474069146,1.2128407538939925,20.071102,20.325567,19.352886,0.97268105,0.2544651,0.71821594,,
100.30497038956743,0.5645087719193538,-50.95768763809946,0.6916247622204794,1.3191651859263016,1.7546458081339638,0.37759206610633145,1.3446360649181424,20.452477,20.501839,19.742527,0.7593117,0.049362183,0.7099495,,
100.28025505580835,0.9241102373641821,-50.97147197184488,1.4697317214774415,-2.6802910389523484,1.8472172357032264,5.9800211677419775,2.3813472897082018,20.855345,20.468689,19.550476,0.9182129,-0.3866558,1.3048687,,
100.30741803906896,0.7084279643719974,-50.96757917642969,0.6509046548357619,0.6526390049794573,1.455916961402927,3.064368761347085,1.1472969118461396,20.417288,20.537182,19.758085,0.7790966,0.11989403,0.6592026,,
100.28303469825039,0.37250328087694157,-50.9640678430821,0.42970683699020434,-1.7625443340104536,0.9761480404987555,-0.6269750265750733,0.904089135274966,19.72574,19.993628,18.993372,1.0002556,0.26788712,0.73236847,,
100.28058555520867,0.5984575834757884,-50.96279735586974,0.6177237295031939,0.15213183050928053,1.4795591148926042,2.0535560627934313,1.2106749337472382,20.433296,20.366856,19.703085,0.6637707,-0.06644058,0.73021126,,
100.298920703311,0.21722430304082482,-50.978640879781146,0.21630806340554304,7.060395630214483,0.5087358177829403,0.6215381331809544,0.4312388207182377,16.169699,16.620296,15.523798,1.0964985,0.45059776,0.6459007,,
100.29161545699657,1.6176909726443875,-50.9949309070529,1.8764865084273217,-0.14750544959545198,3.402886818998517,-3.9735204471845362,2.7051725664937596,20.843647,21.227266,19.953884,1.2733822,0.3836193,0.8897629,,
