ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error
209.96037466962306,0.11983389065985163,14.034389987143065,0.10748422368843655,-8.687915959986622,0.2666676930984603,-6.301490520078167,0.1837724787017657,17.539669,17.941004,16.967758,0.9732456,,
209.916230149889,13.76132841654894,14.036293374422835,4.546443492042102,,,,,20.994621,21.464914,20.342066,1.1228485,,
209.84715089991715,0.7686619722780615,14.052365240959666,0.7834646691144388,-8.163656765721178,1.720536154239764,-3.604837771710927,1.3989495292969447,20.384617,20.942991,19.383953,1.5590382,,
209.87674505577235,2.0152690355205154,14.055704532195449,3.0808829040942793,,,,,20.89173,20.648024,19.956724,0.69129944,,
209.88029906407718,3.367579680740077,14.097594403482173,4.272533118378087,,,,,20.422682,20.050163,18.362146,1.6880169,,
209.95976417264853,1.183733478770231,14.058515906500379,1.496199497666855,,,,,20.67158,20.773005,19.90867,0.8643341,,
209.92959134465835,0.0563311524379586,14.098049828909232,0.05268690527286582,-7.248568095673996,0.12101438834440822,-1.4996630232732038,0.09208745193406025,16.089783,16.6233,15.42048,1.2028208,,
209.88409798210722,0.5690885747573838,14.056535559806147,0.5950273686229997,-12.2157880303401,1.262144380106998,-13.284570657712415,0.9956074327258513,19.979568,21.096365,18.776335,2.3200302,,
209.80597540963183,0.5457794670777745,14.09884893979777,0.5459077038022913,-0.005570168889299287,1.2478778421659913,-15.522303394606604,0.9722465008972131,19.752312,20.166021,19.184227,0.98179436,,
209.95438864200756,2.4298843060029154,14.054104256311415,2.152779759735812,,,,,20.950283,22.160206,19.877298,2.2829075,,
209.8207520828406,2.8358368404751397,14.10126130227844,2.7311799175745284,,,,,20.058372,19.63705,18.074839,1.562212,,
209.93321071296424,1.6684784228727818,14.125397100517725,1.5874983870679613,1.805967371326368,4.27297103172497,-13.579925587369193,3.7540080909449256,20.72694,21.184307,19.775078,1.4092293,,
209.84955360183255,0.659552724090087,14.103239534895454,0.9483900372286109,-0.85440698782839,2.064893307723784,-2.668732778760211,3.2261213459224067,20.248716,20.282335,19.602262,0.6800728,,
210.06120627894722,0.9139533830377172,14.003816848287478,0.7432790311126186,-4.895007278439092,1.7790960188555824,-13.646558227944116,1.3880538648899812,20.043312,21.150694,18.192654,2.9580402,,
209.91169987810383,0.03753422469018075,14.035727160110245,0.032240843156799294,-10.619318705712674,0.08476741311353636,-6.179706855156867,0.060809089297274334,15.055238,15.501908,14.454414,1.0474939,,
209.87380511642317,0.2169971628472774,14.108111313025939,0.2252353747690352,-6.184678338245577,0.4846871293810363,-3.3779054998846894,0.4299415239837679,18.5966,18.96035,18.004335,0.95601463,,
209.91257877008857,0.9449919902608245,14.109437089355007,1.3580214783529754,,,,,20.667116,21.3464,19.841324,1.5050755,,
209.96430132898024,0.047284879468175854,14.019200850362779,0.04108584974657094,-15.619532859560813,0.10542116405553809,-3.2068038375810115,0.07488097175590332,15.662627,15.987248,15.162359,0.8248892,,
209.84593964088785,0.08505497757459506,14.031739423668004,0.0829420670399655,-9.00075910586971,0.18175599002406145,0.6402822262054907,0.13891068517318858,17.08078,17.347153,16.612892,0.73426056,,
209.91362016699236,0.04978611018622581,14.071512664422496,0.05648041966175679,44.119272450110586,0.11260750262711293,29.765840668989107,0.0873227646614038,14.866091,16.040272,13.791404,2.248868,,
209.9069152597303,0.5756311050724409,14.109869815348517,0.5247649101868472,-4.539560866439791,1.2874439747087036,-2.501177279089309,0.8522609466353382,19.676466,19.97513,19.232912,0.742218,,
210.0616329512138,0.10517851955289136,14.005445274356557,0.08148838350628633,20.87106095460601,0.22509861706221812,-15.169750556226273,0.15635628296454143,16.92096,18.83642,15.610026,3.2263937,,
209.83195292273152,0.031512453053765196,14.063927391971534,0.02989041777901778,-11.762970805134525,0.06759369370058374,-9.189870458059291,0.05687661629071153,14.863165,15.5067625,14.102761,1.4040012,,
209.79951336642648,0.17181206854063516,14.068616108352611,0.1695325947727942,-44.03243908300564,0.35771521710460824,-9.414276034997496,0.2599965672138239,17.761875,19.380867,16.518654,2.8622131,,
209.82409925081208,0.02338593800020507,14.092710191459254,0.02268353986247298,5.671309381487076,0.047242676408342656,-16.076968331151928,0.04427306558415228,13.427122,13.774736,12.923616,0.85112,,
210.06116842852748,22.140677170714703,14.003682648477104,24.005658317759867,,,,,20.289495,,18.211567,,,
209.8593581508154,0.06667609016133084,14.062251771371116,0.06388051962256924,-4.308728034674202,0.14910774608887703,-2.252864632444143,0.11590503985311272,16.601639,16.889608,16.134289,0.7553196,,
209.9087675956292,0.6071019498955461,14.119481989880795,0.6413810914957728,-1.5232833099525305,1.3278381497912017,-2.3329317011473485,1.0800937884822932,20.113735,20.326431,19.390192,0.93623924,,
210.03212928780925,0.02578152339574774,14.003524516555249,0.022360520616748335,-31.435552232951984,0.056333664476265456,-22.4567209951229,0.04541185802170629,14.072107,14.399389,13.579941,0.8194485,,
209.97758654857,0.2241313845298476,14.061992110826996,0.15852009409119028,-11.579852490130717,0.5307334138486767,0.16451162700469918,0.27297995862768043,18.166075,19.192577,17.191027,2.0015507,,
209.83555034188495,0.5271202140374425,14.073416811244677,0.6241878863057466,-0.19767307023807312,0.7541749752179987,-24.943031043851555,0.5833341924797604,19.344364,19.77494,18.606,1.1689396,,
209.86833744083646,1.6858534408398336,14.043193466718105,2.8896728148982493,,,,,20.79712,21.59195,19.283993,2.3079567,,
