ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
209.99331444369145,4.932955305449464,13.548822598352151,8.466000162553081,,,,,20.995083,21.353512,20.244444
210.0589000479297,0.31927179998899435,13.546502670699043,0.32102525167443324,-12.192418215121357,0.7192239651441085,-1.385715012256404,0.47058627498633454,18.722097,19.05574,18.28528
210.31657922944487,1.5859813387271073,13.660845063010353,1.6494382951510964,,,,,20.819105,20.715963,19.974564
210.240404083171,0.8462135968043674,13.660158501153136,0.7150093775746172,3.0880168833459973,1.813575246483012,-3.9498773706798116,1.332846285291889,20.308105,20.573645,19.773048
210.05102748424602,0.136352505314727,13.666180875702247,0.11000235678400803,-8.695436883744794,0.30567123151130554,-2.117863802213698,0.18330638441053151,17.300295,17.586239,16.868216
210.18508946420673,1.8847585640116047,13.661005849372518,2.4590694866815332,,,,,20.934855,20.838266,19.433367
210.0244285135348,0.6173736929803306,13.667979762510484,0.5864895479978336,-2.0527878765529213,1.337278978779941,-0.06182638352103463,0.9605180857834158,19.518211,19.538263,18.661926
210.11229998926063,0.18006210722984425,13.54258220668595,0.16323725938649747,-16.905062437560566,0.3956317198771129,10.857542033905997,0.26024936605729865,17.931787,18.870583,16.901333
210.27217658575586,2.277887586585276,13.631367102251009,1.8755928995644897,,,,,19.23167,18.589384,17.23631
209.9775010809087,0.5644058787340211,13.539582427350867,0.484765763379167,-2.298092835624027,1.313161958623439,-7.265175110648818,0.8570882524775736,19.906048,20.62508,19.009245
210.15902086195086,0.14474707134433235,13.630545126915756,0.1335330284394767,-3.2949398161065,0.3200668087762853,1.3955047576421236,0.2217759930468512,17.883896,18.440971,17.154055
210.1335033181551,0.4513926358023086,13.637598699212038,0.412965789572521,6.5351584871961546,0.9971919140453808,-23.913702153956308,0.6619627854060367,19.293177,19.777407,18.573359
210.45743070879183,1.4730470536169187,13.649123162505088,1.2989418018074925,-6.070521953623432,2.7402084331668637,-3.840823540075745,2.935206414087824,20.538536,20.481567,19.894236
210.24228922418072,1.7954588763050918,13.53607255915818,2.244045524518064,,,,,20.773493,21.11965,20.573853
210.0711765894572,0.2744640671782293,13.65909922409013,0.25084696084850794,-0.38290655353975245,0.6133959888636866,-0.42890746392509455,0.3955175214215213,18.739492,19.190174,18.111013
210.11109789641392,0.3502686136985628,13.662563884605714,0.3185336377542435,-2.911804145937503,0.7828192058268982,-1.3156412928459709,0.49692017584102144,19.172205,19.343987,18.69205
210.34785170442012,0.08119387746428783,13.650375318814877,0.067434110108506,-5.730504926284178,0.17596181274945535,-20.350004600649683,0.13998716371967737,16.792944,17.189753,16.16763
210.30103847530066,0.16218762432662504,13.638301625511211,0.13557092354828268,9.381260287434602,0.35770572596065975,-6.593458055375576,0.27784857505496924,17.955572,18.67308,17.075129
210.08181770580313,0.48032010612124487,13.66040215723331,0.3826684375084418,-2.0160713890888395,1.1106273475641495,-3.357460025541683,0.6230884737887139,19.424498,19.75043,18.852503
210.10989807138282,0.5847477970771066,13.650757931862527,0.5502265502811312,5.408867374775105,1.3014134392788737,-11.840171667026864,0.8313287974778951,19.826164,20.691133,18.698372
210.2003565817062,0.16438424488512898,13.793552309124927,0.147502301899448,-5.319850182373156,0.33870776907762135,-23.504280041072775,0.29425211234781573,18.086002,18.776958,17.10229
210.0887082353712,0.036667691993479176,13.626813185237793,0.034935143716980005,-27.610605251852668,0.0803800521149498,-1.334591933363578,0.0714732417424307,12.552679,12.875064,12.0746
210.36317931166585,2.4857953598627347,13.652499249250088,2.9956078604740206,,,,,19.994852,19.44598,17.841974
210.39081459060984,0.14102333764802447,13.685415663920832,0.1144409939638624,-4.25496334427063,0.3045310398404403,-0.5404438607194191,0.23729469961581526,17.630249,17.840046,17.155603
210.2520787089208,0.5994023981955626,13.675984407233935,0.5082903848334489,-16.573337370091483,1.2829465294106226,-7.915738835036281,0.9255919194572165,19.962841,20.87383,18.902683
210.10373827681175,0.41471891882962164,13.672956733238452,0.384679314912165,-6.9864825896531775,0.9331840996896431,-0.015986513948727445,0.6008033575898811,19.421427,20.562866,18.245731
210.42457598672777,0.678503768966531,13.659889750933596,0.45900587775416046,-10.032842222223024,1.495307150559464,-7.011232837686788,0.9000648349322882,19.743643,20.319782,18.789274
210.30127376070175,0.1548950738019105,13.677258879059297,0.12625936919059821,-84.24141577478119,0.324981424140214,-7.540988078514324,0.2448250576518154,17.969498,18.942581,16.964882
210.05661434406795,0.10678881429692662,13.679562926181259,0.10520708503556919,14.214067061161762,0.2157813689705384,-22.876700938193164,0.16051117077734117,17.355871,18.49848,16.300432
210.35414121167906,0.36322458417278775,13.677429494308491,0.339203710643509,6.0422507620018795,0.7853703694011913,-3.578165005783177,0.7706693683922683,19.137396,20.248264,17.94261
210.42048013684132,1.1086537535210017,13.659089415205715,0.5882175126950263,2.834841886945179,1.7537023106943916,-1.7310349740818785,1.0053310023625979,19.413431,20.123247,18.220013
210.33560262871106,1.156270744657671,13.628454176227146,0.9547086669689875,-1.807384871922661,2.185200555219646,-3.9955274002272296,1.8051486014766767,20.426239,20.276875,19.639359
210.03800556806246,0.9175603704156446,13.607173464218524,1.2008160593364516,,,,,20.427023,20.725647,18.980324
210.04777815267767,0.10586023535704157,13.511792548107891,0.09695441666311694,-2.920965361850396,0.24780822133236458,-6.177426243981256,0.17699802793916244,17.188808,17.539474,16.666027
